The Vietnam War ended in 1975, and a few months later, Saigon was renamed Ho Chi Minh City.	The Vietnam War ended in 1975	a few months later, Saigon was renamed Ho Chi Minh City	related
The Emancipation Proclamation was issued in 1863, and slavery was abolished nationwide in 1865.	The Emancipation Proclamation was issued in 1863	slavery was abolished nationwide in 1865	not-related
The Thirty Years' War ended in 1648, and the Peace of Westphalia was signed that same year.	The Thirty Years' War ended in 1648	the Peace of Westphalia was signed that same year	related
The Reign of Terror began in 1793, and Robespierre was executed in 1794.	The Reign of Terror began in 1793	Robespierre was executed in 1794	not-related
The United States entered World War I in 1917, and the war ended in 1918.	The United States entered World War I in 1917	the war ended in 1918	not-related
JFK was elected president in 1960, and was assassinated in 1963.	JFK was elected president in 1960	was assassinated in 1963	not-related
The Black Death reached Europe in 1347, and within months, it had spread across the continent.	The Black Death reached Europe in 1347	within months, it had spread across the continent	related
After the 2010 earthquake in Haiti, humanitarian aid began to arrive within 48 hours.	the 2010 earthquake in Haiti	humanitarian aid began to arrive within 48 hours	related
The Space Shuttle Challenger exploded in 1986, and a nationwide investigation began immediately.	The Space Shuttle Challenger exploded in 1986	a nationwide investigation began immediately	related
The Berlin Wall was built in 1961, and Germany was reunified in 1990.	The Berlin Wall was built in 1961	Germany was reunified in 1990	not-related
The Titanic sank in April 1912, and rescue ships arrived hours later.	The Titanic sank in April 1912	rescue ships arrived hours later	related
Abraham Lincoln was elected president in 1860, and the Civil War began in 1861.	Abraham Lincoln was elected president in 1860	the Civil War began in 1861	not-related
The Boston Massacre occurred in 1770, and five years later the American Revolution began.	The Boston Massacre occurred in 1770	five years later the American Revolution began	related
The Wright brothers made their first flight in 1903, and commercial aviation began decades later.	The Wright brothers made their first flight in 1903	commercial aviation began decades later	related
The Chinese Cultural Revolution started in 1966, and ended officially in 1976.	The Chinese Cultural Revolution started in 1966	ended officially in 1976	not-related
The Normandy landings occurred on June 6, 1944, and Paris was liberated two months later.	The Normandy landings occurred on June 6, 1944	Paris was liberated two months later	related
The U.S. dropped atomic bombs on Japan in August 1945, and Japan surrendered days later.	The U.S. dropped atomic bombs on Japan in August 1945	Japan surrendered days later	related
The Great Fire of Chicago happened in 1871, and reconstruction began almost immediately.	The Great Fire of Chicago happened in 1871	reconstruction began almost immediately	related
Nelson Mandela was imprisoned in 1962, and released in 1990.	Nelson Mandela was imprisoned in 1962	released in 1990	not-related
The first iPhone was launched in 2007, and the App Store opened in 2008.	The first iPhone was launched in 2007	the App Store opened in 2008	not-related
The U.S. invaded Iraq in 2003, and Baghdad fell within weeks.	The U.S. invaded Iraq in 2003	Baghdad fell within weeks	related
Gutenberg invented the printing press in the 1440s, and Luther published his theses in 1517.	Gutenberg invented the printing press in the 1440s	Luther published his theses in 1517	not-related
The Soviet Union collapsed in 1991, and many republics declared independence that same year.	The Soviet Union collapsed in 1991	many republics declared independence that same year	related
Charles Darwin published *On the Origin of Species* in 1859, and Mendel’s work on genetics was published in 1866.	Charles Darwin published *On the Origin of Species* in 1859	Mendel’s work on genetics was published in 1866	not-related
The U.S. entered World War II in 1941, and shortly afterward the draft was expanded.	The U.S. entered World War II in 1941	shortly afterward the draft was expanded	related
The Panama Canal was completed in 1914, and the U.S. handed it over to Panama in 1999.	The Panama Canal was completed in 1914	the U.S. handed it over to Panama in 1999	not-related
Gandhi began his Salt March in 1930, and thousands joined him over the next few weeks.	Gandhi began his Salt March in 1930	thousands joined him over the next few weeks	related
The D-Day landings occurred on June 6, 1944, and Paris was liberated two and a half months later.	The D-Day landings occurred on June 6, 1944	Paris was liberated two and a half months later	related
President Kennedy was assassinated on November 22, 1963, and Lyndon B. Johnson was sworn in later that day.	President Kennedy was assassinated on November 22, 1963	Lyndon B. Johnson was sworn in later that day	related
"Martin Luther King Jr. gave his ""I Have a Dream"" speech in August 1963, and he received the Nobel Peace Prize in December 1964."	"Martin Luther King Jr. gave his ""I Have a Dream"" speech in August 1963"	he received the Nobel Peace Prize in December 1964	not-related
The 9/11 attacks happened in the morning of September 11, 2001, and airspace across the U.S. was shut down within hours.	the 9/11 attacks happened in the morning of September 11, 2001	airspace across the U.S. was shut down within hours	related
After the Apollo 11 crew landed on the Moon on July 20, 1969, they returned to Earth four days later.	the Apollo 11 crew landed on the Moon on July 20, 1969	they returned to Earth four days later	related
The Brexit referendum took place on June 23, 2016, and the UK officially left the EU on January 31, 2020.	The Brexit referendum took place on June 23, 2016	the UK officially left the EU on January 31, 2020	not-related
The Watergate break-in occurred on June 17, 1972, and the first televised hearings began in May 1973.	The Watergate break-in occurred on June 17, 1972	the first televised hearings began in May 1973	not-related
The Chernobyl explosion happened in the early hours of April 26, 1986, and Pripyat was evacuated the following afternoon.	The Chernobyl explosion happened in the early hours of April 26, 1986	Pripyat was evacuated the following afternoon	related
After the Wright brothers’ first flight on December 17, 1903, they made three more flights that same day.	the Wright brothers’ first flight on December 17, 1903	they made three more flights that same day	related
Rosa Parks was arrested on December 1, 1955, and the Montgomery Bus Boycott began four days later.	Rosa Parks was arrested on December 1, 1955	the Montgomery Bus Boycott began four days later	related
The moon landing took place on a Sunday, and the astronauts gave a press conference three days after their return.	The moon landing took place on a Sunday	the astronauts gave a press conference three days after their return	related
On the morning of July 14, 1789, Parisians stormed the Bastille, and by evening the governor had surrendered.	Parisians stormed the Bastille	by evening the governor had surrendered	related
Gandhi began his Salt March on March 12, 1930, and reached the sea 24 days later.	Gandhi began his Salt March on March 12, 1930	reached the sea 24 days later	related
The Enabling Act was passed on March 23, 1933, and within a month, Hitler banned all opposition parties.	The Enabling Act was passed on March 23, 1933	within a month, Hitler banned all opposition parties	related
The Titanic hit the iceberg late at night on April 14, 1912, and sank early the next morning.	The Titanic hit the iceberg late at night on April 14, 1912	sank early the next morning	related
The Berlin Wall opened on November 9, 1989, and thousands crossed into West Berlin that very night.	The Berlin Wall opened on November 9, 1989	thousands crossed into West Berlin that very night	related
Charles de Gaulle fled France in June 1940, and returned to Paris four years later, in August 1944.	Charles de Gaulle fled France in June 1940	returned to Paris four years later, in August 1944	not-related
After the U.S. dropped the bomb on Hiroshima on August 6, 1945, Nagasaki was bombed three days later.	the U.S. dropped the bomb on Hiroshima on August 6, 1945	Nagasaki was bombed three days later	related
The Boston Tea Party occurred on December 16, 1773, and Parliament passed the Coercive Acts in March 1774.	The Boston Tea Party occurred on December 16, 1773	Parliament passed the Coercive Acts in March 1774	not-related
The Gulf War began on January 17, 1991, and the ground invasion started just over a month later, on February 24.	The Gulf War began on January 17, 1991	the ground invasion started just over a month later, on February 24	related
The D-Day landings occurred on June 6, 1944, while British forces were also advancing in Italy, and Paris was liberated two and a half months later.	The D-Day landings occurred on June 6, 1944	Paris was liberated two and a half months later	related
President Kennedy was assassinated on November 22, 1963, the same week a Soviet satellite reentered Earth’s atmosphere, and Lyndon B. Johnson was sworn in later that day.	President Kennedy was assassinated on November 22, 1963	Lyndon B. Johnson was sworn in later that day	related
The 9/11 attacks happened in the morning of September 11, 2001, and while international markets reacted sharply, airspace across the U.S. was shut down within hours.	the 9/11 attacks happened in the morning of September 11, 2001	airspace across the U.S. was shut down within hours	related
After the Apollo 11 crew landed on the Moon on July 20, 1969, media outlets around the world broadcast the event, and they returned to Earth four days later.	the Apollo 11 crew landed on the Moon on July 20, 1969	they returned to Earth four days later	related
The Brexit referendum took place on June 23, 2016, a week before Wimbledon began, and the UK officially left the EU on January 31, 2020.	The Brexit referendum took place on June 23, 2016	the UK officially left the EU on January 31, 2020	not-related
Rosa Parks was arrested on December 1, 1955, during a busy holiday season, and the Montgomery Bus Boycott began four days later.	Rosa Parks was arrested on December 1, 1955	the Montgomery Bus Boycott began four days later	related
On the morning of July 14, 1789, Parisians stormed the Bastille, as tensions rose across France and merchants closed their shops, and by evening the governor had surrendered.	Parisians stormed the Bastille	by evening the governor had surrendered	related
After the Wright brothers’ first flight on December 17, 1903, a local newspaper reported a snowstorm, and they made three more flights that same day.	the Wright brothers’ first flight on December 17, 1903	they made three more flights that same day	related
The Titanic hit the iceberg late at night on April 14, 1912, while passengers were dancing in the ballroom, and sank early the next morning.	The Titanic hit the iceberg late at night on April 14, 1912	sank early the next morning	related
The Berlin Wall opened on November 9, 1989, while many East Germans were celebrating a soccer win, and thousands crossed into West Berlin that very night.	The Berlin Wall opened on November 9, 1989	thousands crossed into West Berlin that very night	related
The D-Day landings occurred on June 6, 1944, as Allied forces began liberating Europe. Meanwhile, in the Pacific, battles raged in the Philippines, and Churchill delivered a major speech to Parliament. Paris was liberated two and a half months later.	The D-Day landings occurred on June 6, 1944	Paris was liberated two and a half months later	related
President Kennedy was assassinated on November 22, 1963. Earlier that week, China launched a new missile test, and the Beatles topped UK charts for the fifth time. Lyndon B. Johnson was sworn in later that day.	President Kennedy was assassinated on November 22, 1963	Lyndon B. Johnson was sworn in later that day	related
After the Apollo 11 crew landed on the Moon on July 20, 1969, massive celebrations erupted across the U.S. That same week, the Chappaquiddick incident shook the Kennedy family, and protests in Northern Ireland escalated. They returned to Earth four days later.	the Apollo 11 crew landed on the Moon on July 20, 1969	they returned to Earth four days later	related
Rosa Parks was arrested on December 1, 1955. At the same time, tensions in the Cold War led to an increase in U.S. military presence in Europe, and construction began on a new interstate highway. The Montgomery Bus Boycott began four days later.	Rosa Parks was arrested on December 1, 1955	The Montgomery Bus Boycott began four days later	related
On July 14, 1789, Parisians stormed the Bastille. Elsewhere in Europe, Catherine the Great was expanding Russian influence, and Londoners were debating colonial reform. By evening, the governor had surrendered.	Parisians stormed the Bastille	by evening the governor had surrendered	related
The Titanic hit the iceberg late at night on April 14, 1912. Meanwhile, the Balkan Wars were brewing on the European mainland, and the Chinese Republic had just been declared months earlier. It sank early the next morning.	The Titanic hit the iceberg late at night on April 14, 1912	sank early the next morning	related
The Berlin Wall opened on November 9, 1989. That same week, East German television aired its final state-run broadcast, and the Velvet Revolution began in Czechoslovakia. Thousands crossed into West Berlin that very night.	The Berlin Wall opened on November 9, 1989	Thousands crossed into West Berlin that very night	related
The 9/11 attacks happened in the morning of September 11, 2001. Earlier that month, the UN held a summit on global poverty, and Brazil was experiencing a major currency fluctuation. Airspace across the U.S. was shut down within hours.	The 9/11 attacks happened in the morning of September 11, 2001	Airspace across the U.S. was shut down within hours	related
Gandhi began his Salt March on March 12, 1930. During the same period, the Soviet Union was enforcing collectivization, and Germany faced rising unemployment. He reached the sea 24 days later.	Gandhi began his Salt March on March 12, 1930	He reached the sea 24 days later	related
D-Day occurred on June 6, 1944, launching a major Allied invasion. Two months later, Paris was liberated. Meanwhile, Soviet forces were advancing in the East, and Italy was preparing for an offensive.	D-Day occurred on June 6, 1944	Two months later, Paris was liberated	related
President Kennedy was assassinated on November 22, 1963. Later that same day, Lyndon B. Johnson was sworn in as president aboard Air Force One. Earlier that week, NASA held a press briefing about lunar missions.	President Kennedy was assassinated on November 22, 1963	Lyndon B. Johnson was sworn in as president aboard Air Force One	related
On December 1, 1955, Rosa Parks was arrested in Montgomery. The Montgomery Bus Boycott began four days later, during a period of growing national attention. At the same time, Cold War tensions increased in Berlin.	Rosa Parks was arrested in Montgomery	The Montgomery Bus Boycott began four days later	related
The Titanic hit an iceberg on April 14, 1912. While some passengers were unaware of the damage, others prepared to evacuate. The ship sank early the next morning. In the same year, China became a republic.	The Titanic hit an iceberg on April 14, 1912	The ship sank early the next morning	related
Apollo 11 landed on the Moon on July 20, 1969. After collecting samples, the crew returned to Earth four days later. Meanwhile, protests against the Vietnam War continued across college campuses.	Apollo 11 landed on the Moon on July 20, 1969	the crew returned to Earth four days later	related
The Berlin Wall opened on November 9, 1989. Thousands of people crossed into West Berlin that very night, even as East German state media hesitated to report the news. Days later, Czechoslovakia began its Velvet Revolution.	The Berlin Wall opened on November 9, 1989	Thousands of people crossed into West Berlin that very night	related
Gandhi began his Salt March on March 12, 1930. For weeks he walked toward the sea. Around the same time, political unrest spread in Bengal. He reached the sea on April 5, greeted by hundreds.	Gandhi began his Salt March on March 12, 1930	He reached the sea on April 5	related
The Chernobyl explosion occurred on April 26, 1986. Within 36 hours, the nearby city of Pripyat was evacuated. Meanwhile, the Soviet press remained silent, and rumors spread across Europe.	The Chernobyl explosion occurred on April 26, 1986	Within 36 hours, the nearby city of Pripyat was evacuated.	related
On July 14, 1789, Parisians stormed the Bastille. That evening, the fortress surrendered. Elsewhere in France, nobles were fleeing their estates, and bread shortages worsened.	Parisians stormed the Bastille	That evening, the fortress surrendered	related
On September 11, 2001, the World Trade Center was attacked. Airspace over the U.S. was shut down just hours later, as the Pentagon was also struck. Stocks remained closed for several days.	the World Trade Center was attacked	Airspace over the U.S. was shut down just hours later	related
On August 6, 1945, the U.S. dropped an atomic bomb on Hiroshima. Three days later, Nagasaki was bombed, and Japan surrendered shortly after. Meanwhile, Allied forces were advancing in the Pacific.	On August 6, 1945, the U.S. dropped an atomic bomb on Hiroshima	Three days later, Nagasaki was bombed	related
After the stock market crash on October 29, 1929, unemployment surged. The New Deal began years later, but initially, soup kitchens were overwhelmed and panic spread. Banks failed daily.	the stock market crash on October 29, 1929	The New Deal began years later, but initially, soup kitchens were overwhelmed and panic spread.related	related
The Moon landing happened on July 20, 1969. Armstrong's first step was televised live. In the following days, while the astronauts returned home, global media covered both Woodstock and Apollo. Parades were held on their return.	The Moon landing happened on July 20, 1969	In the following days, while the astronauts returned home, global media covered both Woodstock and Apollo.	related
The Magna Carta was signed in June 1215. Although it was annulled shortly after by the Pope, it marked a symbolic beginning. Weeks later, civil war erupted in England, and barons rallied.	The Magna Carta was signed in June 1215	Weeks later, civil war erupted in England	related
Martin Luther nailed his 95 Theses to a church door in Wittenberg on October 31, 1517. Within weeks, his writings spread across Europe thanks to the printing press. Meanwhile, local clergy scrambled to respond.	Martin Luther nailed his 95 Theses to a church door in Wittenberg on October 31, 1517	Within weeks, his writings spread across Europe	related
The Great Fire of London began on the night of September 2, 1666. By the next morning, hundreds of buildings had been destroyed. As the fire spread, Samuel Pepys recorded the event in his diary.	The Great Fire of London began on the night of September 2, 1666	By the next morning, hundreds of buildings had been destroyed	related
Charles de Gaulle gave his famous BBC speech in June 1940, calling for French resistance. The day before, German forces had taken Paris. Days later, Britain recognized de Gaulle as the Free French leader.	Charles de Gaulle gave his famous BBC speech in June 1940	The day before, Britain recognized de Gaulle as the Free French leader	related
On July 4, 1776, the U.S. declared independence. Earlier that summer, skirmishes had intensified near New York. By mid-August, British forces began a large-scale counterattack.	On July 4, 1776, the U.S. declared independence	By mid-August, British forces began a large-scale counterattack	related
The Reign of Terror began in September 1793. Robespierre gained control, and a few weeks later, mass executions began. In the same period, France declared war on additional European monarchies.	The Reign of Terror began in September 1793	In the same period, mass executions began	related
The Treaty of Versailles was signed in June 1919, and the League of Nations held its first meeting in 1920. Around the same time, Prohibition began in the United States.	The Treaty of Versailles was signed in June 1919	the League of Nations held its first meeting in 1920	not-related
While we discussed the budget in the meeting, by the way, my car’s inspection is due tomorrow.	we discussed the budget in the meeting	my car’s inspection is due tomorrow	not-related
By the way, I started painting the fence last week, and sales at the store peaked on Black Friday.	I started painting the fence last week	sales at the store peaked on Black Friday	not-related
The chef prepared the ingredients early this morning, yet my neighbor hosted a surprise party.	The chef prepared the ingredients early this morning	my neighbor hosted a surprise party	not-related
Before we entered the auditorium, the CEO gave a short address	 in contrast, my brother climbed a mountain last weekend.	the CEO gave a short address	not-related
I finished the quarterly report this afternoon, and by the way my passport renewal arrives next week.	I finished the quarterly report this afternoon	my passport renewal arrives next week	not-related
She drafted the email before lunch, and incidentally her son’s piano recital is on Friday.	She drafted the email before lunch	her son’s piano recital is on Friday	not-related
We wrapped up the design review at noon, and later I remembered I have a dentist appointment tomorrow.	We wrapped up the design review at noon	I have a dentist appointment tomorrow	not-related
He logged the support tickets yesterday, and at the same time we’re planning our summer vacation.	He logged the support tickets yesterday	we’re planning our summer vacation	not-related
After I calibrated the instruments, my high school reunion is coming up in October.	I calibrated the instruments	my high school reunion is coming up in October	not-related
I finished coding the module at midnight, and tangentially, the museum’s new exhibit opened yesterday.	I finished coding the module at midnight	the museum’s new exhibit opened yesterday	not-related
I filed the tax return yesterday, and the weather forecast predicts snow tomorrow.	I filed the tax return yesterday	the weather forecast predicts snow tomorrow	not-related
Joan of Arc was burned in Rouen in 1431, and centuries later, the printing press was invented around 1440.	Joan of Arc was burned in Rouen in 1431	the printing press was invented around 1440	not-related
The Magna Carta was sealed in 1215, and centuries later, the Black Death ravaged Europe in the mid-14th century.	The Magna Carta was sealed in 1215	the Black Death ravaged Europe in the mid-14th century	not-related
Queen Victoria ascended the throne in 1837, and Alexander Graham Bell received a patent for the telephone in 1876.	Queen Victoria ascended the throne in 1837	Alexander Graham Bell received a patent for the telephone in 1876	not-related
Christopher Columbus landed in the Caribbean in 1492, and Martin Luther published his 95 Theses in 1517.	Christopher Columbus landed in the Caribbean in 1492	Martin Luther published his 95 Theses in 1517	not-related
The Battle of Hastings occurred in 1066, and Leonardo da Vinci completed the Mona Lisa in 1506.	The Battle of Hastings occurred in 1066	Leonardo da Vinci completed the Mona Lisa in 1506	not-related
The Magna Carta was sealed in 1215, and Vasco da Gama rounded the Cape of Good Hope in 1497.	The Magna Carta was sealed in 1215	Vasco da Gama rounded the Cape of Good Hope in 1497	not-related
The French Revolution began in 1789, and the United States Constitution was ratified in 1788.	The French Revolution began in 1789	The United States Constitution was ratified in 1788	not-related
