The conference starts at 9:15AM.	{"entities": [[22, 31, "TEMP_EXP"]]}
His handwriting is very neat.	{"entities": []}
He started his job in early March.	{"entities": [[19, 33, "TEMP_EXP"]]}
The bookshelf stands against the wall.	{"entities": []}
On the eve of the final exam, I pulled an all-nighter.	{"entities": [[0, 28, "TEMP_EXP"]]}
Check back on the second Wednesday following your first login, at 5 PM.	{"entities": [[18, 70, "TEMP_EXP"]]}
At the stroke of midnight, the new law took effect.	{"entities": [[0, 25, "TEMP_EXP"]]}
The new semester begins next January.	{"entities": [[24, 36, "TEMP_EXP"]]}
The trial will be extended until the last Tuesday of next month at 6 PM.	{"entities": [[27, 71, "TEMP_EXP"]]}
Their car is extremely fast.	{"entities": []}
Schedule the first team sync on the first Friday following New Year's Day at 2 PM.	{"entities": [[36, 81, "TEMP_EXP"]]}
We’ll have a review in 10 days.	{"entities": [[20, 30, "TEMP_EXP"]]}
The wallpaper has a subtle texture.	{"entities": []}
Her coat has faux-fur lining.	{"entities": []}
The meeting ended 15 minutes ago.	{"entities": [[18, 32, "TEMP_EXP"]]}
I’ll see you on the morning of July 1st.	{"entities": [[13, 39, "TEMP_EXP"]]}
We should have dinner next Friday evening.	{"entities": [[22, 41, "TEMP_EXP"]]}
Let’s reconnect the morning of the last Saturday this month, at 9:30 sharp.	{"entities": [[35, 74, "TEMP_EXP"]]}
The architect designed a modern building.	{"entities": []}
The fabric has a slight sheen.	{"entities": []}
Let’s meet at 7PM for dinner.	{"entities": [[11, 17, "TEMP_EXP"]]}
Let’s revisit this after dinner.	{"entities": [[19, 31, "TEMP_EXP"]]}
The report is due by the last Friday before the end of the quarter at noon.	{"entities": [[25, 74, "TEMP_EXP"]]}
The kettle whistles when it boils.	{"entities": []}
I usually take a walk at sunrise.	{"entities": [[22, 32, "TEMP_EXP"]]}
Our flight departs at dawn on the second Friday after New Year's Eve.	{"entities": [[19, 68, "TEMP_EXP"]]}
They moved out on the 30th of April.	{"entities": [[15, 35, "TEMP_EXP"]]}
We'll circle back mid-afternoon.	{"entities": [[18, 31, "TEMP_EXP"]]}
The results came last Monday.	{"entities": [[17, 28, "TEMP_EXP"]]}
My birthday falls on a Tuesday this year.	{"entities": [[18, 40, "TEMP_EXP"]]}
The meeting has been moved to next Thursday.	{"entities": [[30, 43, "TEMP_EXP"]]}
We’ll start work after the holidays.	{"entities": [[17, 35, "TEMP_EXP"]]}
The suitcase rolls smoothly on tiled floors.	{"entities": []}
This chair swivels smoothly.	{"entities": []}
I’ll be out of office starting this Friday afternoon.	{"entities": [[31, 52, "TEMP_EXP"]]}
The chocolate bar melts in the mouth.	{"entities": []}
I’ll be free after lunch today.	{"entities": [[25, 30, "TEMP_EXP"]]}
Late last summer, we visited the national park.	{"entities": [[0, 16, "TEMP_EXP"]]}
The computer runs smoothly.	{"entities": []}
She called just after 3 PM yesterday.	{"entities": [[11, 36, "TEMP_EXP"]]}
She moved here in Spring 2018.	{"entities": [[15, 29, "TEMP_EXP"]]}
The sidewalk is lined with trees.	{"entities": []}
Things improved after the day before yesterday.	{"entities": [[16, 46, "TEMP_EXP"]]}
The pendant has an engraved message.	{"entities": []}
The conference wraps up on the last Wednesday of this month.	{"entities": [[27, 59, "TEMP_EXP"]]}
Her birthday is on the 14th of February.	{"entities": [[23, 39, "TEMP_EXP"]]}
The scarf has a checkered pattern.	{"entities": []}
That book has a compelling plot.	{"entities": []}
The flowers in the garden are vibrant.	{"entities": []}
The sunglasses block bright light.	{"entities": []}
On the third Wednesday of this month, we’re holding a public hearing.	{"entities": [[0, 36, "TEMP_EXP"]]}
The folder contains all the signed forms.	{"entities": []}
The notebook contains lined pages.	{"entities": []}
The tray is made of polished brass.	{"entities": []}
At dawn, the runners gathered at the starting line.	{"entities": [[0, 7, "TEMP_EXP"]]}
Expect the announcement at 3:15 PM exactly one week from the upcoming Sunday.	{"entities": [[24, 76, "TEMP_EXP"]]}
At exactly 10:10AM, the fire drill began.	{"entities": [[0, 18, "TEMP_EXP"]]}
We’ll send reminders on the first Thursday after tax day at 8 AM.	{"entities": [[28, 64, "TEMP_EXP"]]}
His idea seems brilliant.	{"entities": []}
Our contract ends by the end of the fiscal year.	{"entities": [[18, 47, "TEMP_EXP"]]}
The system rebooted at midnight.	{"entities": [[20, 31, "TEMP_EXP"]]}
The shop closes in 10 minutes.	{"entities": [[16, 29, "TEMP_EXP"]]}
The pilot flies the airplane.	{"entities": []}
It happened two years ago on the 5th of July at 4:33.	{"entities": [[12, 52, "TEMP_EXP"]]}
His laptop battery drains quickly.	{"entities": []}
The gardener watered the plants.	{"entities": []}
The pen glides effortlessly on the page.	{"entities": []}
The file was saved at 4:02 PM.	{"entities": [[19, 29, "TEMP_EXP"]]}
I’m unavailable until after 11:30 tomorrow.	{"entities": [[16, 42, "TEMP_EXP"]]}
The fabric is wrinkle-resistant.	{"entities": []}
We'll make changes one day before the release date.	{"entities": [[19, 50, "TEMP_EXP"]]}
The mirror reflects natural light well.	{"entities": []}
Let’s wrap things up before the weekend.	{"entities": [[21, 39, "TEMP_EXP"]]}
The window blinds are partially closed.	{"entities": []}
His coffee spilled this morning.	{"entities": [[19, 31, "TEMP_EXP"]]}
This painting looks stunning.	{"entities": []}
The horror movie marathon airs on the next Friday the 13th at 9 PM.	{"entities": [[38, 66, "TEMP_EXP"]]}
The email campaign goes out at 6:30 PM on the first weekday after next month’s end.	{"entities": [[28, 82, "TEMP_EXP"]]}
The doormat is patterned with stripes.	{"entities": []}
The cushion has a hidden zipper.	{"entities": []}
The next episode airs tomorrow night.	{"entities": [[22, 36, "TEMP_EXP"]]}
The bus arrives at quarter past 8.	{"entities": [[16, 33, "TEMP_EXP"]]}
At noon tomorrow, the results will be published.	{"entities": [[0, 16, "TEMP_EXP"]]}
They arrived on New Year’s Day.	{"entities": [[13, 30, "TEMP_EXP"]]}
We’ll regroup at 2 PM the day before launch.	{"entities": [[14, 43, "TEMP_EXP"]]}
Let’s have the brainstorming session right after lunch on the third Monday from today.	{"entities": [[37, 85, "TEMP_EXP"]]}
Let’s schedule the call two Fridays from now.	{"entities": [[24, 44, "TEMP_EXP"]]}
I'll get back to you after my 3 PM meeting.	{"entities": [[21, 42, "TEMP_EXP"]]}
The room was painted last summer.	{"entities": [[21, 32, "TEMP_EXP"]]}
Just after sunset, the ceremony will begin.	{"entities": [[0, 17, "TEMP_EXP"]]}
The backpack has multiple compartments.	{"entities": []}
The table is made of oak wood.	{"entities": []}
The hat complements her outfit.	{"entities": []}
Ten years back, this area was just farmland.	{"entities": [[0, 14, "TEMP_EXP"]]}
She left early yesterday morning.	{"entities": [[9, 32, "TEMP_EXP"]]}
We’ll review the performance the following month.	{"entities": [[33, 48, "TEMP_EXP"]]}
Expect a package delivery by 10 AM on the Wednesday after Labor Day.	{"entities": [[26, 67, "TEMP_EXP"]]}
It rained the whole first week of May.	{"entities": [[14, 37, "TEMP_EXP"]]}
He showed up one hour ago.	{"entities": [[13, 25, "TEMP_EXP"]]}
The musician composed an orchestral piece.	{"entities": []}
The summary will be emailed out by 2:30 PM the day after the all-hands meeting.	{"entities": [[32, 78, "TEMP_EXP"]]}
It rained all day yesterday.	{"entities": [[10, 17, "TEMP_EXP"], [18, 27, "TEMP_EXP"]]}
The quilt is embroidered with intricate stitches.	{"entities": []}
First thing Monday morning, I’ll send the invoice.	{"entities": [[0, 26, "TEMP_EXP"]]}
Late at night, the streets are completely silent.	{"entities": [[0, 13, "TEMP_EXP"]]}
His birthday is next month on the 12th.	{"entities": [[16, 38, "TEMP_EXP"]]}
The handle feels ergonomic.	{"entities": []}
Expect a status update at 4:45 PM on the second Thursday of next month.	{"entities": [[23, 70, "TEMP_EXP"]]}
Her speech was inspiring last night.	{"entities": [[25, 35, "TEMP_EXP"]]}
Two days from now, the platform will be live.	{"entities": [[0, 17, "TEMP_EXP"]]}
The mat feels durable.	{"entities": []}
My parents met in the summer of '76.	{"entities": [[15, 35, "TEMP_EXP"]]}
I can’t talk right now, I’m in a meeting.	{"entities": [[13, 22, "TEMP_EXP"]]}
At 8:33 on the dot, the power was restored.	{"entities": [[0, 18, "TEMP_EXP"]]}
The towel absorbs water quickly.	{"entities": []}
The offer expires at midnight on the Friday closest to the 20th.	{"entities": [[18, 63, "TEMP_EXP"]]}
The shelves are made of reclaimed wood.	{"entities": []}
The mayor gives inspiring speeches.	{"entities": []}
The painting hangs above the fireplace.	{"entities": []}
Toward the end of last month, we noticed a drop in engagement.	{"entities": [[11, 28, "TEMP_EXP"]]}
One week from yesterday, the new hires start orientation.	{"entities": [[0, 23, "TEMP_EXP"]]}
The cat’s fur is silky.	{"entities": []}
The earrings sparkle under light.	{"entities": []}
The beverage is served chilled.	{"entities": []}
The car’s engine runs silently.	{"entities": []}
The pillowcase has a floral design.	{"entities": []}
In about six weeks, she’ll be moving to Berlin.	{"entities": [[0, 18, "TEMP_EXP"]]}
In three and a half weeks, the renovations will be complete.	{"entities": [[0, 25, "TEMP_EXP"]]}
The lamp emits a warm glow.	{"entities": []}
Join the onboarding session at 9 AM on the Monday after your start date.	{"entities": [[28, 71, "TEMP_EXP"]]}
The class ends at 4:30PM.	{"entities": [[15, 24, "TEMP_EXP"]]}
I’ll be on leave all next week.	{"entities": [[17, 30, "TEMP_EXP"]]}
The scarf is knitted.	{"entities": []}
The vase cracked during the move.	{"entities": []}
We left the house 20 minutes ago.	{"entities": [[18, 32, "TEMP_EXP"]]}
The plate is made of porcelain.	{"entities": []}
Exams will start next semester.	{"entities": [[17, 30, "TEMP_EXP"]]}
Please reply by the Friday before the public holiday.	{"entities": [[13, 52, "TEMP_EXP"]]}
At exactly quarter to nine, he walked in.	{"entities": [[0, 26, "TEMP_EXP"]]}
We’ll touch base again the Friday immediately following next payday, around 11 AM.	{"entities": [[27, 81, "TEMP_EXP"]]}
The session resumes in two weeks.	{"entities": [[20, 32, "TEMP_EXP"]]}
The carpet covers the entire floor.	{"entities": []}
We'll reconnect at 9:30 AM on the first Wednesday after next week.	{"entities": [[16, 65, "TEMP_EXP"]]}
I changed my major 2 semesters ago.	{"entities": [[19, 34, "TEMP_EXP"]]}
Let’s meet tomorrow at noon.	{"entities": [[11, 27, "TEMP_EXP"]]}
Their anniversary is on the 25th of March.	{"entities": [[28, 41, "TEMP_EXP"]]}
Their new album drops next Friday.	{"entities": [[22, 33, "TEMP_EXP"]]}
Their rehearsal is scheduled for the Saturday before the ceremony.	{"entities": [[37, 65, "TEMP_EXP"]]}
The student solved the equation.	{"entities": []}
The software update will deploy at midnight the night before the last Friday in June.	{"entities": [[32, 84, "TEMP_EXP"]]}
The bicycle has a sturdy frame.	{"entities": []}
Halfway through the semester, I changed my thesis topic.	{"entities": [[0, 28, "TEMP_EXP"]]}
The lights went out at 11:57PM.	{"entities": [[20, 30, "TEMP_EXP"]]}
The wallet is made of leather.	{"entities": []}
I saw him three hours ago at the café.	{"entities": [[10, 25, "TEMP_EXP"]]}
The envelope has a wax seal.	{"entities": []}
The team returned last Tuesday.	{"entities": [[18, 30, "TEMP_EXP"]]}
Her smile is genuinely warm.	{"entities": []}
We’ll celebrate the following Christmas together.	{"entities": [[20, 39, "TEMP_EXP"]]}
We'll go live on the Wednesday immediately after the next full moon, around noon.	{"entities": [[21, 80, "TEMP_EXP"]]}
